Building_number;Year
1;1954
2;1955
3;1957
4;1963
5;1969
6;1958
7;1965
8;1958
9;1958
10;1961
11;1962
12;1962
13;1965
14;1967
15;1962
16;1961
17;1964
18;1967
19;1967
20;1968
21;1968
22;1965
23;1966
24;1966
25;1975
26;1970
27;1972
28;1976
29;1988
30;1971
31;1973
32;1986
33;1986
35;1976
36;1969
37;1973
38;1982
39;1995
40;1995
41;2007
42;2010
47;1986
48;1959
49;1973
50;1960
51;1957
52;1957
53;1957
54;1969
55;1957
56;1957
57;1965
58;1967
60;1959
61;1959
62;1959
63;1959
64;1961
65;1980
66;2015
70;1955
72;1965
73;1968
80;2004
93;2011
100;1957
101;1961
102;1964
103;1957
104;1957
108;1965
109;1965
110;1969
112;1971
113;1973
115;1974
117;1982
118;1985
119;1968
120;1962
124;1960
125;1955
126;1965
128;1960
129;1963
130;1965
131;1967
132;1967
133;1970
135;1989
141;1978
142;1975
143;1977
148;1979
149;1958
150;1958
151;1961
152;1961
153;1961
154;1962
155;1955
156;1968
157;1963
158;1959
159;1960
160;1957
161;1957
162;1964
163;1965
164;1965
165;1963
166;1965
167;1966
168;1968
169;1967
170;1991
171;1968
172;1967
173;1967
175;1969
176;1969
179;2005
180;1968
181;1969
182;1976
183;1971
184;1969
185;1975
186;1975
187;1963
188;1978
189;2010
190;1969
191;1970
192;1971
193;1979
194;1980
195;1985
196;1979
197;1991
198;2012
199;2012
200;1956
201;1966
202;1971
203;1965
205;1956
206;1962
207;1957
208;1973
209;1982
210;1985
211;1965
212;1968
213;1968
214;1970
215;1966
216;1970
217;2004
219;1988
220;1970
221;1973
222;1977
223;1983
224;1957
225;1985
226;1971
227;1970
228;1970
229;1977
230;1979
231;1967
232;1985
233;1987
234;1990
235;1990
236;1992
237;1997
238;1995
239;1995
240;1994
241;1999
242;1997
243;1998
244;2003
246;1961
247;1961
248;1961
249;1981
250;1959
251;1962
252;1962
253;1958
254;1960
255;1960
256;1961
258;1962
259;1980
261;1965
262;1967
263;1967
264;1968
266;1990
268;1985
269;1970
270;1969
271;1970
272;1971
273;1974
274;1971
275;1974
276;1971
277;1971
279;1971
280;1969
281;1970
282;1970
283;1970
284;1970
285;1970
286;1970
287;1970
288;1970
289;1970
290;1975
291;1969
292;1975
293;1975
294;1976
295;1976
296;1977
297;1980
298;1978
300;1957
301;1957
304;1958
305;1991
308;1993
310;1993
351;1958
352;2014
353;1958
354;1958
355;1958
356;1964
357;1965
358;1967
359;1969
361;1971
362;1972
363;1975
364;1973
365;1974
366;1982
367;1977
368;1970
370;1985
375;1968
376;1970
377;1970
378;1969
379;1990
380;2014
393;2014
400;2009
500;1959
501;1960
503;1959
504;1971
505;1991
506;1993
507;1991
508;2014
510;1960
512;1967
513;1972
530;1974
533;1965
534;1972
535;1970
538;2004
544;1983
545;1983
547;1976
548;1974
549;1982
552;1955
555;1968
561;1975
562;1956
564;1955
565;1955
566;1955
567;1955
568;1956
570;1967
572;1972
573;1968
574;1968
577;1987
578;1973
579;1971
581;1968
582;1968
584;1983
585;1988
587;1984
588;1984
589;1966
590;1969
591;1989
592;1968
593;1970
594;1971
595;1971
596;1971
597;1971
598;1971
599;1971
600;1985
602;1984
603;1985
606;1999
607;2004
608;1990
609;2001
610;2000
613;2001
618;2012
619;2012
622;2013
628;2011
662;2008
676;2009
678;2011
679;2011
682;2011
683;2011
684;2012
685;2010
686;2013
688;2015
695;2004
696;2004
697;2004
698;2004
699;2004
770;2014
771;-
772;2014
773;-
774;2014
791;2012
846;1978
860;1973
861;1973
862;1974
863;1975
864;1973
865;1973
866;1973
867;1973
868;1974
869;1973
870;1973
871;1975
872;1974
873;1975
874;1973
876;1976
877;1978
878;1974
879;1974
880;1974
881;1974
882;1974
883;1977
884;1975
887;1977
888;1977
889;1977
890;1977
891;1977
892;1978
893;1978
894;1972
895;1977
896;1975
897;1985
898;1977
899;1980
902;1977
903;1978
904;1979
905;1979
906;1978
907;1978
908;1978
909;1979
910;1978
911;1979
912;1979
915;1981
916;1981
917;1979
918;1979
919;1979
920;1979
921;1981
922;1980
923;1980
924;1980
925;1981
926;1992
927;1985
928;1984
929;1989
930;1981
931;1976
932;1981
933;1984
934;1972
935;1990
939;1993
940;1992
941;2012
942;1972
943;1999
946;2010
950;2013
951;1998
952;1980
954;2001
955;1985
956;1985
957;2013
958;1995
959;1985
960;1988
962;1990
963;2014
967;1990
968;1990
969;1976
970;1998
971;1998
972;1993
973;1999
974;2000
976;2010
978;2000
979;1976
980;2002
981;1999
982;1999
983;1999
984;1999
985;1999
986;1999
987;1999
988;2006
1070;2014
1077;2014
1078;2014
1079;2014
1152;2015
1153;2015
1155;2012
1165;2012
1166;2012
1171;2012
1172;2012
1173;2012
1174;2012
1175;2012
1176;2007
1177;2010
1184;2005
1187;2010
1194;1981
1195;1981
1203;2015
1211;2012
1217;2012
1218;2012
1220;2005
1225;2012
1232;2012
1242;2014
1252;2012
1263;2015
2001;1983
2002;1984
2003;1984
2004;1984
2006;1984
2007;1984
2008;1984
2009;1984
2010;2007
2011;1984
2012;1988
2013;2006
2015;1984
2016;2014
2017;1984
2018;1983
2051;2004
2052;2004
2053;2004
2054;2004
2055;2004
2056;2004
2057;2004
2058;2004
2059;2004
2061;2004
2062;2004
2151;1992
2155;1986
2160;1984
2164;1992
2165;1991
2173;1984
2175;1984
2180;1986
2184;1992
2250;1986
2251;1991
2252;1986
2253;1986
2254;1985
2255;1987
2257;1991
2258;1985
2260;1985
2264;1992
2265;1987
2270;1989
2275;1986
2280;1986
2281;1988
2282;1988
2284;1992
2285;1988
2290;1984
2355;1989
2358;1987
2359;1987
2360;1987
2375;1988
2380;1989
2395;1990
2451;1992
2453;1991
2454;1992
2455;1988
2458;1986
2460;1986
2464;1991
2465;1988
2470;1988
2474;1988
2475;1986
2480;1986
2481;1988
2484;1991
2485;1988
2489;1989
2490;1984
2495;1989
2555;1989
2558;1987
2560;1987
2575;1987
2650;1986
2651;1992
2653;1986
2654;1986
2655;1988
2658;1987
2660;1986
2664;1991
2665;1988
2670;1988
2674;1988
2675;1986
2680;1988
2681;1988
2684;1991
2685;1988
2690;1988
2695;1988
2755;1988
2758;1986
2760;1986
2775;1986
2780;1989
2851;1992
2853;1993
2854;1992
2855;1988
2858;1985
2860;1985
2864;1992
2865;1987
2870;1988
2875;1985
2880;1988
2881;1988
2882;1988
2884;1992
2885;1988
2890;1989
2895;1989
3010;2005
3014;2005
3019;2012
3042;2014
3054;2005
3055;2005
3057;2005
3072;2005
3073;2005
3150;1999
3152;2002
3153;2002
3156;1999
3158;2006
3160;1998
3162;2001
3163;2004
3164;2004
3165;2001
3166;2009
3167;2004
3170;2001
3173;1999
3174;2000
3176;2005
3177;1999
3178;2001
3179;1998
3181;2002
3182;2000
3183;1997
3184;2002
3185;2000
3187;2004
3190;1998
3191;2003
3192;2003
3196;2013
3197;2012
3198;2013
3264;2004
3267;2004
3276;2005
3288;2004
3294;2008
3297;2014
3364;2004
3376;2005
3457;2000
3464;2004
3465;2013
3466;2010
3467;2004
3476;2005
3477;2000
3551;1999
3562;2005
3564;2004
3565;2001
3567;2004
3570;2001
3576;2005
3578;2001
3580;1997
3582;2000
3583;1999
3584;1999
3585;1999
3588;1987
3589;-
3590;1998
3594;2014
3595;2000
3664;2004
3666;2010
3667;2004
3676;2005
3677;2002
3764;2004
3776;2005
3852;2015
3857;1988
3862;2014
3864;2004
3866;2010
3867;2004
3876;2005
3877;2001
3880;2001
3888;2009
3893;2011
3894;2008
116;1976
360;1970
107;2017
CERN Fire Brigade;1980
806;1975
